index,workflow_ID,dataset_name,class_key,filter_min_counts,normalize_size_factors,scale_input,logtrans_input,model_name,ae_type,hidden_size,hidden_dropout,batchnorm,activation,init,epochs,reduce_lr,early_stop,batch_size,optimizer,verbose,threads,learning_rate,n_perm,permute,mode,pct_split,obs_key,n_keep,keep_obs,train_test_random_seed,obs_subsample,make_fake,true_celltype,false_celltype,pct_false,predictor_model,predict_key,predictor_hidden_sizes,predictor_epochs,predictor_batch_size,semi_sup,predictor_activation,unlabeled_category,save_zinb_param,use_raw_as_output,contrastive_margin,same_class_pct,change_perm,use_TEST
57,57,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
58,58,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
59,59,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
60,60,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
61,61,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
206,206,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
207,207,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
226,226,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
227,227,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
228,228,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
229,229,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
230,230,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
231,231,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
232,232,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
233,233,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
234,234,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
235,235,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
236,236,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
237,237,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
238,238,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
239,239,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
240,240,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
241,241,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
242,242,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,NK,AT2,0.1,MLP,celltype,64,50,32,0.0,sigmoid,,,,,,False,False
243,243,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
244,244,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
245,245,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
246,246,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
247,247,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
248,248,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
249,249,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
250,250,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
251,251,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
252,252,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
253,253,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
254,254,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
255,255,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
256,256,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
257,257,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
258,258,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
259,259,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
260,260,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
261,261,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
262,262,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
263,263,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
264,264,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
265,265,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
266,266,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False
267,267,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
268,268,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
269,269,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
270,270,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False
271,271,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,71.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
272,272,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,44.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
273,273,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,68.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
274,274,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,59.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
275,275,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,97.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
276,276,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,13.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
277,277,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,57.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
278,278,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,32.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
279,279,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,37.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
280,280,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,24.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
281,281,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
282,282,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.05,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
283,283,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.2,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
284,284,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
285,285,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.05,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
286,286,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.2,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
287,287,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2.Club,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
288,288,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2.Club,0.05,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
289,289,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2.Club,0.2,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
290,290,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Artery,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False
