index,workflow_ID,dataset_name,class_key,filter_min_counts,normalize_size_factors,scale_input,logtrans_input,model_name,ae_type,hidden_size,hidden_dropout,batchnorm,activation,init,epochs,reduce_lr,early_stop,batch_size,optimizer,verbose,threads,learning_rate,n_perm,permute,mode,pct_split,obs_key,n_keep,keep_obs,train_test_random_seed,obs_subsample,make_fake,true_celltype,false_celltype,pct_false,predictor_model,predict_key,predictor_hidden_sizes,predictor_epochs,predictor_batch_size,semi_sup,predictor_activation,unlabeled_category,save_zinb_param,use_raw_as_output,contrastive_margin,same_class_pct,change_perm,use_TEST,split_strategy,batch_removal_weight,use_hvg
58,58,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
59,59,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
60,60,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
61,61,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
206,206,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
207,207,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
226,226,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
227,227,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
228,228,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
229,229,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
230,230,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
231,231,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
232,232,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
233,233,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
234,234,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
235,235,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
236,236,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
237,237,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
238,238,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
239,239,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
240,240,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
241,241,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,zinb-conddisp,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
242,242,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,NK,AT2,0.1,MLP,celltype,64,50,32,0.0,sigmoid,,,,,,False,False,random,,
243,243,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
244,244,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
245,245,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
246,246,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
247,247,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
248,248,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
249,249,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
250,250,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
251,251,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
252,252,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.1,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
253,253,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.5,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
254,254,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.9,,,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
255,255,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
256,256,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
257,257,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
258,258,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
259,259,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
260,260,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
261,261,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
262,262,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,32,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
263,263,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
264,264,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
265,265,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
266,266,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,1.0,sigmoid,,,0.0,,,False,False,random,,
267,267,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,5.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
268,268,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,10.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
269,269,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,50.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
270,270,pbmc3k_processed,louvain,True,True,True,True,dca_permuted,normal,64,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,fixed_number,,louvain,100.0,,,,False,,,,MLP,louvain,16,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
271,271,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,71.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
272,272,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,44.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
273,273,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,68.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
274,274,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,59.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
275,275,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,97.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
276,276,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,13.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
277,277,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,57.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
278,278,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,32.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
279,279,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,37.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
280,280,ajrccm,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.99,,,,24.0,,False,,,,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
281,281,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
282,282,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.05,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
283,283,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,Basal,0.2,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
284,284,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
285,285,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.05,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
286,286,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2,0.2,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
287,287,htap,celltype,True,True,True,True,dca_permuted,normal,128,0.0,True,relu,glorot_uniform,100.0,10.0,5.0,32.0,RMSprop,True,,,1,True,percentage,0.8,,,,71.0,,True,Basal,AT2.Club,0.01,MLP,celltype,64,50,32,0.0,sigmoid,,,0.0,,,False,False,random,,
